module,address,vm_address,name,default,flags,modification_count,track_change,reset,source_mentions,status
cgame,0x137a40,0x10dfc20,cg_autoswitch,2,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137a54,0x1015ae0,cg_drawGun,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137a68,0x1014100,cg_gun_frame,0,256,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137a7c,0x1014a00,cg_cursorHints,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137a90,0x10369e0,cg_zoomDefaultSniper,20,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137aa4,0x10151e0,cg_zoomStepSniper,2,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137ab8,0x100e9e0,cg_fov,90,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137acc,0x1013140,cg_stereoSeparation,0.4,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137ae0,0x100d5a0,cg_shadows,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137af4,0x1015300,cg_gibs,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137b08,0x100e8c0,cg_draw2D,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137b1c,0x100dea0,cg_drawSpreadScale,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137b30,0x1013b60,cg_drawStatus,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137b44,0x3121a40,cg_drawFPS,0,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137b58,0x3123540,cg_drawSnapshot,0,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137b6c,0x1036440,cg_drawCrosshair,1,1,0,,,src_2.60/cgame/cg_main.c;src_2.60/cgame/cg_weapons.c,needs-semantic-audit
cgame,0x137b80,0x10379a0,cg_drawCrosshairNames,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137b94,0x100ed40,cg_drawCrosshairPickups,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137ba8,0x3123d20,cg_useWeapsForZoom,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137bbc,0x100ef80,cg_weaponCycleDelay,150,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137bd0,0x3123780,cg_cycleAllWeaps,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137be4,0xfad780,cg_crosshairSize,48,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137bf8,0x1015540,cg_crosshairHealth,0,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137c0c,0x100dd80,cg_crosshairX,0,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137c20,0x1036560,cg_crosshairY,0,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137c34,0xfae080,cg_brassTime,2500,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137c48,0xfacc40,cg_marktime,20000,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137c5c,0x100e320,cg_lagometer,0,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137c70,0x3123300,cg_railTrailTime,400,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137c84,0x33e22c0,cg_gunX,0,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137c98,0x1013ec0,cg_gunY,0,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137cac,0x33e2500,cg_gunZ,0,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137cc0,0x10134a0,cg_countryflags,1,1,0,,,,no-literal-source-mention
cgame,0x137cd4,0x100e440,cg_centertime,5,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137ce8,0x1014460,cg_runpitch,0.002,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137cfc,0xfacfa0,cg_runroll,0.005,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137d10,0x100d900,cg_bobup,0.005,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137d24,0x3121920,cg_bobpitch,0.002,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137d38,0x1036c20,cg_bobroll,0.002,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137d4c,0x100d000,cg_bobyaw,0.002,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137d60,0x31227c0,cg_autoactivate,1,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137d74,0x100fd00,cg_swingSpeed,0.1,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137d88,0x1012600,cg_bloodTime,120,1,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137d9c,0x1014b20,cg_skybox,1,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137db0,0x1013da0,cg_messageType,1,256,0,,,src_2.60/cgame/cg_consolecmds.c;src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137dc4,0x10135c0,cg_animspeed,1,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137dd8,0x100f880,cg_debuganim,0,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137dec,0x1013380,cg_debugposition,0,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137e00,0x100eb00,cg_debugevents,0,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137e14,0x3121fe0,cg_errordecay,100,0,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137e28,0x3122b20,cg_nopredict,0,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
cgame,0x137e3c,0x33e2860,cg_noplayeranims,0,512,0,,,src_2.60/cgame/cg_main.c,needs-semantic-audit
