component,source_file,function,ghidra_address,target_module,port_status,parity_evidence,notes
cgame,cgame_bg.c,BG_StringHashValue,,,untriaged,,
cgame,cgame_bg.c,BG_StringHashValue_Lwr,,,untriaged,,
cgame,cgame_bg.c,BG_AnimParseError,,,untriaged,,
cgame,cgame_bg.c,BG_ParseCommands_isra_0,,,untriaged,,
cgame,cgame_bg.c,BG_IndexForString_constprop_4,,,untriaged,,
cgame,cgame_bg.c,BG_AnimationForString,,,untriaged,,
cgame,cgame_bg.c,BG_IndexForString,,,untriaged,,
cgame,cgame_bg.c,BG_CopyStringIntoBuffer,,,untriaged,,
cgame,cgame_bg.c,BG_InitWeaponStrings,,,untriaged,,
cgame,cgame_bg.c,BG_ParseConditionBits,,,untriaged,,
cgame,cgame_bg.c,BG_ParseConditions,,,untriaged,,
cgame,cgame_bg.c,BG_AnimParseAnimScript,,,untriaged,,
cgame,cgame_bg.c,BG_EvaluateConditions,,,untriaged,,
cgame,cgame_bg.c,BG_FirstValidItem,,,untriaged,,
cgame,cgame_bg.c,BG_PlayAnim,,,untriaged,,
cgame,cgame_bg.c,BG_PlayAnimName,,,untriaged,,
cgame,cgame_bg.c,BG_ExecuteCommand,,,untriaged,,
cgame,cgame_bg.c,BG_AnimScriptAnimation,,,untriaged,,
cgame,cgame_bg.c,BG_AnimScriptCannedAnimation,,,untriaged,,
cgame,cgame_bg.c,BG_AnimScriptEvent,,,untriaged,,
cgame,cgame_bg.c,BG_GetAnimString,,,untriaged,,
cgame,cgame_bg.c,BG_UpdateConditionValue,,,untriaged,,
cgame,cgame_bg.c,BG_GetConditionValue,,,untriaged,,
cgame,cgame_bg.c,BG_GetConditionBitFlag,,,untriaged,,
cgame,cgame_bg.c,BG_SetConditionBitFlag,,,untriaged,,
cgame,cgame_bg.c,BG_ClearConditionBitFlag,,,untriaged,,
cgame,cgame_bg.c,BG_GetAnimScriptAnimation,,,untriaged,,
cgame,cgame_bg.c,BG_GetAnimationForIndex,,,untriaged,,
cgame,cgame_bg.c,BG_AnimUpdatePlayerStateConditions,,,untriaged,,
cgame,cgame_bg.c,BG_RAG_ParseError,,,untriaged,,
cgame,cgame_bg.c,BG_ClearAnimationPool,,,untriaged,,
cgame,cgame_bg.c,BG_R_RegisterAnimationGroup,,,untriaged,,
cgame,cgame_bg.c,BG_LoadCampaignSave,,,untriaged,,
cgame,cgame_bg.c,BG_StoreCampaignSave,,,untriaged,,
cgame,cgame_bg.c,BG_PCF_ParseError,,,untriaged,,
cgame,cgame_bg.c,BG_ParseCharacterFile,,,untriaged,,
cgame,cgame_bg.c,BG_GetCharacter,,,untriaged,,
cgame,cgame_bg.c,BG_GetCharacterForPlayerstate,,,untriaged,,
cgame,cgame_bg.c,BG_ClearCharacterPool,,,untriaged,,
cgame,cgame_bg.c,BG_FindFreeCharacter,,,untriaged,,
cgame,cgame_bg.c,BG_FindCharacter,,,untriaged,,
cgame,cgame_bg.c,BG_GetFromTable,,,untriaged,,
cgame,cgame_bg.c,BG_FindItemForWeapon,,,untriaged,,
cgame,cgame_bg.c,BG_FindClipForWeapon,,,untriaged,,
cgame,cgame_bg.c,BG_FindAmmoForWeapon,,,untriaged,,
cgame,cgame_bg.c,BG_AkimboFireSequence,,,untriaged,,
cgame,cgame_bg.c,BG_IsAkimboWeapon,,,untriaged,,
cgame,cgame_bg.c,BG_IsAkimboSideArm,,,untriaged,,
cgame,cgame_bg.c,BG_AkimboSidearm,,,untriaged,,
cgame,cgame_bg.c,BG_FindItem,,,untriaged,,
cgame,cgame_bg.c,BG_FindItemForClassName,,,untriaged,,
cgame,cgame_bg.c,BG_WeaponInWolfMP,,,untriaged,,
cgame,cgame_bg.c,BG_GrenadesForClass,,,untriaged,,
cgame,cgame_bg.c,BG_GrenadeTypeForTeam,,,untriaged,,
cgame,cgame_bg.c,BG_CalculateSpline_r,,,untriaged,,
cgame,cgame_bg.c,BG_PlayerTouchesItem,,,untriaged,,
cgame,cgame_bg.c,BG_TraverseSpline,,,untriaged,,
cgame,cgame_bg.c,BG_RaySphereIntersection,,,untriaged,,
cgame,cgame_bg.c,BG_LinearPathOrigin2,,,untriaged,,
cgame,cgame_bg.c,BG_ComputeSegments,,,untriaged,,
cgame,cgame_bg.c,BG_EvaluateTrajectory,,,untriaged,,
cgame,cgame_bg.c,BG_EvaluateTrajectoryDelta,,,untriaged,,
cgame,cgame_bg.c,BG_GetMarkDir,,,untriaged,,
cgame,cgame_bg.c,BG_AddPredictableEventToPlayerstate,,,untriaged,,
cgame,cgame_bg.c,BG_GetPrimaryWeaponForPlayerState,,,untriaged,,
cgame,cgame_bg.c,BG_PlayerStateToEntityState,,,untriaged,,
cgame,cgame_bg.c,BG_DuplicateWeapon,,,untriaged,,
cgame,cgame_bg.c,BG_ValidStatWeapon,,,untriaged,,
cgame,cgame_bg.c,BG_WeaponForMOD,,,untriaged,,
cgame,cgame_bg.c,BG_Find_PathCorner,,,untriaged,,
cgame,cgame_bg.c,BG_AddPathCorner,,,untriaged,,
cgame,cgame_bg.c,BG_Find_Spline,,,untriaged,,
cgame,cgame_bg.c,BG_AddSplinePath,,,untriaged,,
cgame,cgame_bg.c,BG_AddSplineControl,,,untriaged,,
cgame,cgame_bg.c,BG_SplineLength,,,untriaged,,
cgame,cgame_bg.c,BG_BuildSplinePaths,,,untriaged,,
cgame,cgame_bg.c,BG_GetSplineData,,,untriaged,,
cgame,cgame_bg.c,BG_MaxAmmoForWeapon,,,untriaged,,
cgame,cgame_bg.c,BG_AddMagicAmmo,,,untriaged,,
cgame,cgame_bg.c,BG_CanItemBeGrabbed,,,untriaged,,
cgame,cgame_bg.c,BG_CreateRotationMatrix,,,untriaged,,
cgame,cgame_bg.c,BG_TransposeMatrix,,,untriaged,,
cgame,cgame_bg.c,BG_RotatePoint,,,untriaged,,
cgame,cgame_bg.c,PC_SourceWarning,,,untriaged,,
cgame,cgame_bg.c,PC_SourceError,,,untriaged,,
cgame,cgame_bg.c,PC_Float_Parse,,,untriaged,,
cgame,cgame_bg.c,PC_Color_Parse,,,untriaged,,
cgame,cgame_bg.c,PC_Vec_Parse,,,untriaged,,
cgame,cgame_bg.c,PC_Int_Parse,,,untriaged,,
cgame,cgame_bg.c,PC_String_Parse,,,untriaged,,
cgame,cgame_bg.c,PC_String_tolower,,,untriaged,,
cgame,cgame_bg.c,PC_String_ParseNoAlloc,,,untriaged,,
cgame,cgame_bg.c,BG_simpleWeaponState,,,untriaged,,
cgame,cgame_bg.c,BG_cleanName,,,untriaged,,
cgame,cgame_bg.c,BG_setCrosshair,,,untriaged,,
cgame,cgame_bg.c,BG_isLightWeaponSupportingFastReload,,,untriaged,,
cgame,cgame_bg.c,BG_IsScopedWeapon,,,untriaged,,
cgame,cgame_bg.c,BG_InitLocations,,,untriaged,,
cgame,cgame_bg.c,BG_GetLocationString,,,untriaged,,
cgame,cgame_bg.c,BG_ClipVelocity,,,untriaged,,
cgame,cgame_bg.c,BG_BBoxCollision,,,untriaged,,
cgame,cgame_bg.c,BG_FootstepForSurface,,,untriaged,,
cgame,cgame_bg.c,BG_CheckCharge,,,untriaged,,
cgame,cgame_bg.c,BG_GetPlayerClassInfo,,,untriaged,,
cgame,cgame_bg.c,BG_PlayerClassForPlayerState,,,untriaged,,
cgame,cgame_bg.c,BG_ClassHasWeapon,,,untriaged,,
